question,answer,operation
"If Sara had 42 oranges and got another 47 oranges, how many oranges does Sara have now?",89,addition
"Noah has 7 boxes of oranges, each containing 7 oranges. How many oranges does Noah have in total?",49,multiplication
"If Mia had 23 oranges and got another 19 oranges, how many oranges does Mia have now?",42,addition
Jay has 12 balls and wants to divide them equally among 2 friends. How many balls does each friend get?,6,division
"If Noah had 38 marbles and got another 45 marbles, how many marbles does Noah have now?",83,addition
"If Jay had 4 oranges and got another 17 oranges, how many oranges does Jay have now?",21,addition
"If Jay had 50 apples and gave away 42, how many apples does Jay have left?",8,subtraction
"If Ava had 100 books and gave away 26, how many books does Ava have left?",74,subtraction
"Liam has 4 boxes of coins, each containing 9 coins. How many coins does Liam have in total?",36,multiplication
"If Liam had 12 books and got another 15 books, how many books does Liam have now?",27,addition
"If Mia had 19 marbles and got another 31 marbles, how many marbles does Mia have now?",50,addition
Mia has 16 apples and wants to divide them equally among 4 friends. How many apples does each friend get?,4,division
Emma has 50 apples and wants to divide them equally among 10 friends. How many apples does each friend get?,5,division
"If Emma had 41 pencils and got another 41 pencils, how many pencils does Emma have now?",82,addition
Jay has 18 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,9,division
"If Ethan had 23 balls and got another 6 balls, how many balls does Ethan have now?",29,addition
"Ava has 5 boxes of apples, each containing 2 apples. How many apples does Ava have in total?",10,multiplication
Jay has 16 pencils and wants to divide them equally among 4 friends. How many pencils does each friend get?,4,division
"Mia has 4 boxes of apples, each containing 11 apples. How many apples does Mia have in total?",44,multiplication
"If Ava had 32 coins and got another 33 coins, how many coins does Ava have now?",65,addition
"If Emma had 96 balls and gave away 25, how many balls does Emma have left?",71,subtraction
Jay has 12 apples and wants to divide them equally among 2 friends. How many apples does each friend get?,6,division
"If Emma had 11 apples and got another 38 apples, how many apples does Emma have now?",49,addition
Ethan has 18 oranges and wants to divide them equally among 3 friends. How many oranges does each friend get?,6,division
"If Sara had 71 marbles and gave away 18, how many marbles does Sara have left?",53,subtraction
Sara has 40 books and wants to divide them equally among 5 friends. How many books does each friend get?,8,division
"Ethan has 10 boxes of books, each containing 4 books. How many books does Ethan have in total?",40,multiplication
"Jay has 10 boxes of pencils, each containing 2 pencils. How many pencils does Jay have in total?",20,multiplication
"If Mia had 45 apples and gave away 24, how many apples does Mia have left?",21,subtraction
"If Emma had 14 balls and got another 34 balls, how many balls does Emma have now?",48,addition
Ava has 16 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,2,division
Mia has 30 apples and wants to divide them equally among 5 friends. How many apples does each friend get?,6,division
"Liam has 7 boxes of books, each containing 6 books. How many books does Liam have in total?",42,multiplication
"Ethan has 11 boxes of pencils, each containing 4 pencils. How many pencils does Ethan have in total?",44,multiplication
"Emma has 6 boxes of candies, each containing 7 candies. How many candies does Emma have in total?",42,multiplication
Sara has 36 coins and wants to divide them equally among 9 friends. How many coins does each friend get?,4,division
"If Ava had 54 candies and gave away 50, how many candies does Ava have left?",4,subtraction
Noah has 40 pencils and wants to divide them equally among 8 friends. How many pencils does each friend get?,5,division
"If Noah had 46 oranges and gave away 17, how many oranges does Noah have left?",29,subtraction
"If Noah had 18 candies and got another 32 candies, how many candies does Noah have now?",50,addition
"If Jay had 74 candies and gave away 2, how many candies does Jay have left?",72,subtraction
"If Jay had 86 coins and gave away 58, how many coins does Jay have left?",28,subtraction
"Liam has 10 boxes of balls, each containing 12 balls. How many balls does Liam have in total?",120,multiplication
"Noah has 11 boxes of marbles, each containing 4 marbles. How many marbles does Noah have in total?",44,multiplication
"Liam has 9 boxes of coins, each containing 9 coins. How many coins does Liam have in total?",81,multiplication
Mia has 25 pencils and wants to divide them equally among 5 friends. How many pencils does each friend get?,5,division
Ethan has 72 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,8,division
Liam has 12 balls and wants to divide them equally among 2 friends. How many balls does each friend get?,6,division
"If Sara had 48 candies and gave away 4, how many candies does Sara have left?",44,subtraction
Jay has 28 candies and wants to divide them equally among 4 friends. How many candies does each friend get?,7,division
"If Mia had 34 apples and gave away 22, how many apples does Mia have left?",12,subtraction
"If Mia had 43 marbles and got another 38 marbles, how many marbles does Mia have now?",81,addition
"If Sara had 50 apples and got another 16 apples, how many apples does Sara have now?",66,addition
"If Sara had 62 marbles and gave away 32, how many marbles does Sara have left?",30,subtraction
"If Jay had 39 coins and gave away 37, how many coins does Jay have left?",2,subtraction
"If Liam had 81 apples and gave away 12, how many apples does Liam have left?",69,subtraction
"If Ava had 29 candies and got another 22 candies, how many candies does Ava have now?",51,addition
"If Mia had 43 candies and got another 25 candies, how many candies does Mia have now?",68,addition
"If Noah had 10 marbles and got another 39 marbles, how many marbles does Noah have now?",49,addition
Noah has 32 pencils and wants to divide them equally among 4 friends. How many pencils does each friend get?,8,division
"If Ethan had 19 books and got another 11 books, how many books does Ethan have now?",30,addition
"If Liam had 25 apples and gave away 17, how many apples does Liam have left?",8,subtraction
"If Liam had 43 balls and got another 25 balls, how many balls does Liam have now?",68,addition
"If Emma had 93 books and gave away 25, how many books does Emma have left?",68,subtraction
Liam has 56 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,7,division
"Ava has 2 boxes of oranges, each containing 10 oranges. How many oranges does Ava have in total?",20,multiplication
Sara has 8 oranges and wants to divide them equally among 2 friends. How many oranges does each friend get?,4,division
"Ethan has 3 boxes of marbles, each containing 6 marbles. How many marbles does Ethan have in total?",18,multiplication
Ava has 24 books and wants to divide them equally among 3 friends. How many books does each friend get?,8,division
Emma has 56 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,7,division
"Liam has 10 boxes of balls, each containing 10 balls. How many balls does Liam have in total?",100,multiplication
"If Noah had 15 coins and got another 43 coins, how many coins does Noah have now?",58,addition
"Liam has 5 boxes of marbles, each containing 8 marbles. How many marbles does Liam have in total?",40,multiplication
Ava has 42 coins and wants to divide them equally among 7 friends. How many coins does each friend get?,6,division
"Emma has 6 boxes of marbles, each containing 10 marbles. How many marbles does Emma have in total?",60,multiplication
"If Ethan had 78 pencils and gave away 54, how many pencils does Ethan have left?",24,subtraction
"Ethan has 11 boxes of coins, each containing 9 coins. How many coins does Ethan have in total?",99,multiplication
"If Ethan had 50 apples and got another 42 apples, how many apples does Ethan have now?",92,addition
"Noah has 5 boxes of books, each containing 5 books. How many books does Noah have in total?",25,multiplication
"If Mia had 76 balls and gave away 62, how many balls does Mia have left?",14,subtraction
Sara has 18 books and wants to divide them equally among 9 friends. How many books does each friend get?,2,division
Mia has 6 oranges and wants to divide them equally among 3 friends. How many oranges does each friend get?,2,division
"If Noah had 20 oranges and got another 13 oranges, how many oranges does Noah have now?",33,addition
"Noah has 6 boxes of coins, each containing 5 coins. How many coins does Noah have in total?",30,multiplication
Mia has 21 apples and wants to divide them equally among 7 friends. How many apples does each friend get?,3,division
"If Noah had 49 marbles and gave away 31, how many marbles does Noah have left?",18,subtraction
Mia has 12 pencils and wants to divide them equally among 3 friends. How many pencils does each friend get?,4,division
